S1	
X	Y
0	0
0.001448942	371.994764
0.00270894	699.3389762
0.003748597	982.0093447
0.004662105	1220.075745
0.00548142	1458.07227
0.00636353	1696.115379
0.007371231	1934.251655
0.008095795	2127.667504
0.00888334	2335.96687
0.009639488	2544.242944
0.010269114	2678.241183
0.010962095	2856.796806
0.011654702	3005.678563
0.01228526	3213.861469
0.013198023	3392.580136
0.014173208	3541.671519
0.01530538	3690.879362
0.016657707	3869.924115
0.018386431	4019.574504
0.020208882	4132.202434
0.022219344	4215.29625
0.024354745	4246.553965
0.026616387	4329.834115
0.028752812	4442.694965
0.030386785	4547.764677
0.031769578	4652.648055
0.033466905	4802.275152
0.035227585	4996.459633
0.036548887	5205.154961
0.037650128	5391.431846
